preprocess,embedding,oversampling,model,run,accuracy,precision,recall,f1,TP,FP,TN,FN,param
none,gpt,False,Decision_Tree,0,0.6694,0.2747,0.6329,0.3831,50,132,276,29,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}"
none,llama,True,Decision_Tree,0,0.7598,0.3173,0.4177,0.3607,33,71,337,46,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,bert,False,Random_Forest,0,0.8501,0.6071,0.2152,0.3178,17,11,397,62,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,tfidf,True,Naive_Bayes,0,0.6078,0.1782,0.3924,0.2451,31,143,265,48,{'var_smoothing': 0.0001}
none,tfidf,True,K_Nearest_Neighbors,0,0.8337,0.4643,0.1646,0.243,13,15,393,66,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,True,Naive_Bayes,0,0.5113,0.1467,0.4177,0.2171,33,192,216,46,{'var_smoothing': 0.0001}
all,tfidf,True,K_Nearest_Neighbors,0,0.8357,0.4783,0.1392,0.2157,11,12,396,68,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,Random_Forest,0,0.8481,0.7778,0.0886,0.1591,7,2,406,72,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
all,tfidf,False,K_Nearest_Neighbors,0,0.8357,0.4546,0.0633,0.1111,5,6,402,74,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,SVC,1,0.8891,0.6263,0.7848,0.6966,62,37,371,17,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,gpt,True,SVC,1,0.8871,0.6539,0.6456,0.6497,51,27,381,28,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,gpt,False,Logistic_Regression,1,0.8624,0.5556,0.7595,0.6417,60,48,360,19,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
none,llama,False,Logistic_Regression,1,0.8747,0.6,0.6835,0.6391,54,36,372,25,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,False,Random_Forest,1,0.8686,0.5843,0.6582,0.6191,52,37,371,27,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,gpt,True,Logistic_Regression,1,0.8604,0.5579,0.6709,0.6092,53,42,366,26,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'sag'}"
none,tfidf,False,Random_Forest,1,0.885,0.6825,0.5443,0.6056,43,20,388,36,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,llama,True,SVC,1,0.8809,0.6667,0.5317,0.5916,42,21,387,37,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,llama,True,Random_Forest,1,0.8912,0.76,0.481,0.5892,38,12,396,41,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,False,SVC,1,0.8809,0.6842,0.4937,0.5735,39,18,390,40,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,bert,True,SVC,1,0.8008,0.4384,0.8101,0.5689,64,82,326,15,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,bert,False,SVC,1,0.7906,0.4248,0.8228,0.5603,65,88,320,14,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,llama,True,Logistic_Regression,1,0.8604,0.5753,0.5317,0.5526,42,31,377,37,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,False,Decision_Tree,1,0.8357,0.4947,0.5949,0.5402,47,48,360,32,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,False,Logistic_Regression,1,0.7967,0.4265,0.7342,0.5395,58,78,330,21,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,tfidf,True,Decision_Tree,1,0.846,0.5244,0.5443,0.5342,43,39,369,36,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,bert,True,Logistic_Regression,1,0.8193,0.4587,0.6329,0.5319,50,59,349,29,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,False,Decision_Tree,1,0.8029,0.4286,0.6456,0.5152,51,68,340,28,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}"
all,tfidf,True,Random_Forest,1,0.8747,0.6957,0.4051,0.512,32,14,394,47,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,tfidf,False,SVC,1,0.7782,0.3972,0.7089,0.5091,56,85,323,23,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
all,tfidf,False,Logistic_Regression,1,0.7782,0.3942,0.6835,0.5,54,83,325,25,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
none,gpt,False,Naive_Bayes,1,0.731,0.3539,0.7975,0.4903,63,115,293,16,{'var_smoothing': 0.001}
none,llama,False,K_Nearest_Neighbors,1,0.8624,0.6154,0.4051,0.4886,32,20,388,47,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
none,tfidf,True,Random_Forest,1,0.8789,0.7778,0.3544,0.487,28,8,400,51,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,True,Random_Forest,1,0.8378,0.5,0.4684,0.4837,37,37,371,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 100}"
none,llama,True,K_Nearest_Neighbors,1,0.6899,0.3269,0.8608,0.4739,68,140,268,11,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,True,Decision_Tree,1,0.8131,0.4333,0.4937,0.4615,39,51,357,40,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5}"
none,bert,False,Logistic_Regression,1,0.8357,0.4928,0.4304,0.4595,34,35,373,45,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,False,Naive_Bayes,1,0.6776,0.3143,0.8354,0.4568,66,144,264,13,{'var_smoothing': 0.1}
none,bert,False,Naive_Bayes,1,0.6961,0.3194,0.7722,0.4519,61,130,278,18,{'var_smoothing': 0.01}
none,gpt,True,Naive_Bayes,1,0.731,0.329,0.6329,0.4329,50,102,306,29,{'var_smoothing': 0.01}
none,gpt,True,Random_Forest,1,0.8686,0.7273,0.3038,0.4286,24,9,399,55,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,True,K_Nearest_Neighbors,1,0.6653,0.2961,0.7722,0.4281,61,145,263,18,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
all,tfidf,False,SVC,1,0.7474,0.3382,0.5823,0.4279,46,90,318,33,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,bert,False,Decision_Tree,1,0.6304,0.2833,0.8354,0.4231,66,167,241,13,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2}"
none,llama,True,Decision_Tree,1,0.7947,0.3871,0.4557,0.4186,36,57,351,43,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 5}"
none,bert,True,Naive_Bayes,1,0.6201,0.2773,0.8354,0.4164,66,172,236,13,{'var_smoothing': 0.1}
none,gpt,True,K_Nearest_Neighbors,1,0.616,0.275,0.8354,0.4138,66,174,234,13,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}"
none,llama,False,Decision_Tree,1,0.6591,0.2836,0.7215,0.4071,57,144,264,22,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,tfidf,True,SVC,1,0.8542,0.6,0.3038,0.4034,24,16,392,55,"{'C': 1.0, 'class_weight': None, 'kernel': 'poly'}"
none,llama,True,Naive_Bayes,1,0.692,0.2924,0.6329,0.4,50,121,287,29,{'var_smoothing': 1e-11}
none,llama,False,Naive_Bayes,1,0.655,0.2764,0.6962,0.3957,55,144,264,24,{'var_smoothing': 0.0001}
none,gpt,False,K_Nearest_Neighbors,1,0.8522,0.5897,0.2911,0.3898,23,16,392,56,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
none,gpt,True,Decision_Tree,1,0.7659,0.3365,0.4557,0.3871,36,71,337,43,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,True,Logistic_Regression,1,0.7967,0.375,0.3798,0.3774,30,50,358,49,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'newton-cg'}"
none,tfidf,False,K_Nearest_Neighbors,1,0.8337,0.4792,0.2911,0.3622,23,25,383,56,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
none,gpt,False,Decision_Tree,1,0.54,0.2325,0.7975,0.36,63,208,200,16,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2}"
all,tfidf,True,Logistic_Regression,1,0.809,0.3939,0.3291,0.3586,26,40,368,53,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
all,tfidf,False,Naive_Bayes,1,0.6694,0.2616,0.5696,0.3586,45,127,281,34,{'var_smoothing': 0.001}
none,bert,False,Random_Forest,1,0.8398,0.5122,0.2658,0.35,21,20,388,58,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,bert,True,Decision_Tree,1,0.7577,0.3069,0.3924,0.3444,31,70,338,48,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
none,llama,False,Random_Forest,1,0.8624,0.7727,0.2152,0.3366,17,5,403,62,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 100}"
none,bert,False,K_Nearest_Neighbors,1,0.8255,0.4375,0.2658,0.3307,21,27,381,58,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}"
all,tfidf,True,SVC,1,0.8439,0.5556,0.1899,0.283,15,12,396,64,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
all,tfidf,True,Naive_Bayes,1,0.5442,0.1735,0.481,0.255,38,181,227,41,{'var_smoothing': 0.0001}
none,tfidf,True,Naive_Bayes,1,0.655,0.1654,0.2785,0.2076,22,111,297,57,{'var_smoothing': 0.0001}
all,tfidf,True,K_Nearest_Neighbors,1,0.8378,0.5,0.1013,0.1684,8,8,400,71,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,tfidf,True,K_Nearest_Neighbors,1,0.8357,0.4667,0.0886,0.1489,7,8,400,72,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,False,Random_Forest,1,0.8419,0.6667,0.0506,0.0941,4,2,406,75,"{'class_weight': 'balanced', 'criterion': 'entropy', 'min_samples_leaf': 4, 'n_estimators': 100}"
all,tfidf,False,K_Nearest_Neighbors,1,0.8419,1,0.0253,0.0494,2,0,408,77,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}"
none,gpt,True,SVC,2,0.9138,0.8033,0.6203,0.7,49,12,396,30,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,gpt,False,SVC,2,0.8994,0.6563,0.7975,0.72,63,33,375,16,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'rbf'}"
none,gpt,False,Logistic_Regression,2,0.883,0.6058,0.7975,0.6885,63,41,367,16,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'newton-cg'}"
all,tfidf,False,Random_Forest,2,0.8912,0.6512,0.7089,0.6788,56,30,378,23,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,gpt,True,Logistic_Regression,2,0.8871,0.65,0.6582,0.6541,52,28,380,27,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,False,Random_Forest,2,0.8932,0.7015,0.5949,0.6438,47,20,388,32,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 2, 'n_estimators': 1000}"
none,llama,True,SVC,2,0.8891,0.6866,0.5823,0.6301,46,21,387,33,"{'C': 10, 'class_weight': None, 'kernel': 'rbf'}"
none,llama,False,Logistic_Regression,2,0.8706,0.5889,0.6709,0.6272,53,37,371,26,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,tfidf,True,Decision_Tree,2,0.8789,0.6282,0.6203,0.6242,49,29,379,30,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2}"
all,tfidf,True,Random_Forest,2,0.8994,0.8,0.5063,0.6202,40,10,398,39,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,True,Random_Forest,2,0.8891,0.6984,0.557,0.6197,44,19,389,35,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,False,SVC,2,0.8481,0.5221,0.7468,0.6146,59,54,354,20,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'poly'}"
none,llama,False,K_Nearest_Neighbors,2,0.883,0.6667,0.557,0.6069,44,22,386,35,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}"
all,tfidf,False,Decision_Tree,2,0.8501,0.5333,0.6076,0.5681,48,42,366,31,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
all,tfidf,True,Decision_Tree,2,0.8583,0.5641,0.557,0.5605,44,34,374,35,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,gpt,True,Random_Forest,2,0.8871,0.7609,0.443,0.56,35,11,397,44,"{'class_weight': None, 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,llama,True,Logistic_Regression,2,0.8665,0.6029,0.519,0.5578,41,27,381,38,"{'C': 1000, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,tfidf,False,Logistic_Regression,2,0.7967,0.4275,0.7468,0.5438,59,79,329,20,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
none,tfidf,False,Decision_Tree,2,0.8481,0.5301,0.557,0.5432,44,39,369,35,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
all,tfidf,False,Logistic_Regression,2,0.7926,0.4214,0.7468,0.5388,59,81,327,20,"{'C': 1.0, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,bert,False,Logistic_Regression,2,0.809,0.4426,0.6835,0.5373,54,68,340,25,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'lbfgs'}"
none,tfidf,True,Random_Forest,2,0.883,0.75,0.4177,0.5366,33,11,397,46,"{'class_weight': None, 'criterion': 'entropy', 'min_samples_leaf': 1, 'n_estimators': 1000}"
none,bert,True,SVC,2,0.7865,0.4126,0.7468,0.5315,59,84,324,20,"{'C': 10, 'class_weight': None, 'kernel': 'poly'}"
none,tfidf,False,SVC,2,0.7823,0.4082,0.7595,0.531,60,87,321,19,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,tfidf,True,Logistic_Regression,2,0.8398,0.5059,0.5443,0.5244,43,42,366,36,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'sag'}"
none,bert,True,Logistic_Regression,2,0.8173,0.4519,0.5949,0.5137,47,57,351,32,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
none,bert,False,SVC,2,0.77,0.3907,0.7468,0.513,59,92,316,20,"{'C': 10, 'class_weight': 'balanced', 'kernel': 'poly'}"
all,tfidf,False,SVC,2,0.7803,0.3955,0.6709,0.4977,53,81,327,26,"{'C': 1.0, 'class_weight': 'balanced', 'kernel': 'sigmoid'}"
none,gpt,False,K_Nearest_Neighbors,2,0.8789,0.7632,0.3671,0.4957,29,9,399,50,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}"
none,gpt,False,Naive_Bayes,2,0.7331,0.3543,0.7848,0.4882,62,113,295,17,{'var_smoothing': 1e-11}
none,llama,True,K_Nearest_Neighbors,2,0.6776,0.3259,0.9241,0.4819,73,151,257,6,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
none,gpt,True,Naive_Bayes,2,0.7495,0.3595,0.6962,0.4741,55,98,310,24,{'var_smoothing': 0.01}
none,tfidf,True,SVC,2,0.8645,0.6444,0.3671,0.4677,29,16,392,50,"{'C': 1.0, 'class_weight': None, 'kernel': 'poly'}"
none,llama,False,Random_Forest,2,0.8768,0.7879,0.3291,0.4643,26,7,401,53,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 4, 'n_estimators': 1000}"
none,bert,True,Random_Forest,2,0.8275,0.4675,0.4557,0.4615,36,41,367,43,"{'class_weight': 'balanced', 'criterion': 'gini', 'min_samples_leaf': 1, 'n_estimators': 1000}"
all,tfidf,True,Logistic_Regression,2,0.8357,0.4928,0.4304,0.4595,34,35,373,45,"{'C': 1000, 'class_weight': None, 'penalty': 'l2', 'solver': 'lbfgs'}"
none,gpt,True,Decision_Tree,2,0.7967,0.4039,0.5317,0.459,42,62,346,37,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2}"
none,tfidf,False,Naive_Bayes,2,0.653,0.306,0.8987,0.4566,71,161,247,8,{'var_smoothing': 0.1}
none,llama,False,Decision_Tree,2,0.6982,0.3152,0.7342,0.4411,58,126,282,21,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 2}"
none,bert,False,Decision_Tree,2,0.692,0.3122,0.7468,0.4403,59,130,278,20,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
none,gpt,False,Decision_Tree,2,0.7351,0.3264,0.5949,0.4215,47,97,311,32,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4, 'min_samples_split': 2}"
